erp_key,bronze,schema,table,domain,dimensional_role,snowflake_candidate,fk_degree,pk_columns,row_count_afya,row_count_allos,populated_clients,silver_table,silver_domain,silver_implemented,grain
dbo.FAROL,dbo__FAROL,dbo,FAROL,metricas,DIM,DIM_FAROL,0,ID,8,8,both,farol,metricas,yes,
dbo.FEEDBACK_CONTINUO,dbo__FEEDBACK_CONTINUO,dbo,FEEDBACK_CONTINUO,avaliacao,DIM,DIM_FEEDBACK_CONTINUO,0,Id,321,14,both,feedback_continuo,avaliacao,yes,
dbo.FILIAL,dbo__FILIAL,dbo,FILIAL,organizacao,DIM,DIM_FILIAL,0,ID,85,94,both,filial,organizacao,yes,
dbo.FORMULARIO,dbo__FORMULARIO,dbo,FORMULARIO,unclassified,DEFER,,0,ID,0,0,none,,,no,
dbo.FORMULARIO_AVALIACAO_ABA,dbo__FORMULARIO_AVALIACAO_ABA,dbo,FORMULARIO_AVALIACAO_ABA,avaliacao,DEFER,,0,ID,0,0,none,formulario_avaliacao_aba,avaliacao,yes,
dbo.FORMULARIO_AVALIACAO_ABA_ITEM,dbo__FORMULARIO_AVALIACAO_ABA_ITEM,dbo,FORMULARIO_AVALIACAO_ABA_ITEM,avaliacao,DEFER,,0,ID,0,0,none,formulario_avaliacao_aba_item,avaliacao,yes,
dbo.FORMULARIO_AVALIACAO_SUCESSAO,dbo__FORMULARIO_AVALIACAO_SUCESSAO,dbo,FORMULARIO_AVALIACAO_SUCESSAO,sucessao,DEFER,,0,ID,0,0,none,formulario_avaliacao_sucessao,sucessao,yes,
dbo.FORMULARIO_FEEDBACK_ABA,dbo__FORMULARIO_FEEDBACK_ABA,dbo,FORMULARIO_FEEDBACK_ABA,avaliacao,DIM,DIM_FORMULARIO_FEEDBACK_ABA,0,ID,0,23,allos,formulario_feedback_aba,avaliacao,yes,
dbo.FORMULARIO_FEEDBACK_ABA_ITEM,dbo__FORMULARIO_FEEDBACK_ABA_ITEM,dbo,FORMULARIO_FEEDBACK_ABA_ITEM,avaliacao,BRIDGE,BRG_FORMULARIO_FEEDBACK_ABA_ITEM,0,ID,0,23,allos,formulario_feedback_aba_item,avaliacao,yes,
dbo.FORUM_CALIBRAGEM_SUCESSAO,dbo__FORUM_CALIBRAGEM_SUCESSAO,dbo,FORUM_CALIBRAGEM_SUCESSAO,sucessao,DIM,DIM_FORUM_CALIBRAGEM_SUCESSAO,0,ID,1,0,afya,forum_calibragem_sucessao,sucessao,yes,
dbo.FORUM_PARTICIPANTE_SUCESSAO,dbo__FORUM_PARTICIPANTE_SUCESSAO,dbo,FORUM_PARTICIPANTE_SUCESSAO,colaborador,BRIDGE,BRG_FORUM_PARTICIPANTE_SUCESSAO,0,ID,1,0,afya,forum_participante_sucessao,colaborador,yes,
