erp_key,bronze_table,domain,dimensional_role,layer_path,raw_object,staging_object,edw_object,mart_object,localdrawdb_layer,localdrawdb_group,note
dbo.SimulationRVCache,dbo__SimulationRVCache,remuneracao,DIM,raw+staging+edw,raw.dbo__SimulationRVCache,staging.stg_remuneracao_simulationrvcache,edw.dim_simulation_rv_cache,,edw,dimensional,DIM → edw.dim_simulation_rv_cache
dbo.SkillCategory,dbo__SkillCategory,pdi,DIM,raw+staging+edw,raw.dbo__SkillCategory,staging.stg_pdi_skillcategory,edw.dim_skill_category,,edw,dimensional,DIM → edw.dim_skill_category
dbo.SkillKnowledge,dbo__SkillKnowledge,pdi,DIM,raw+staging+edw,raw.dbo__SkillKnowledge,staging.stg_pdi_skillknowledge,edw.dim_skill_knowledge,,edw,dimensional,DIM → edw.dim_skill_knowledge
dbo.Sport,dbo__Sport,colaborador,DIM,raw+staging+edw,raw.dbo__Sport,staging.stg_colaborador_sport,edw.dim_sport,,edw,dimensional,DIM → edw.dim_sport
dbo.Stakeholder,dbo__Stakeholder,colaborador,DEFER,raw+edw_stub,raw.dbo__Stakeholder,staging.stg_colaborador_stakeholder,edw.defer_stakeholder,,raw,ingestao_colaborador,DEFER — stub EDW; sem dados piloto
dbo.StakeholdersCommittees,dbo__StakeholdersCommittees,colaborador,DEFER,raw+edw_stub,raw.dbo__StakeholdersCommittees,staging.stg_colaborador_stakeholderscommittees,edw.defer_stakeholderscommittees,,raw,ingestao_colaborador,DEFER — stub EDW; sem dados piloto
dbo.StakeholdersProject,dbo__StakeholdersProject,colaborador,DEFER,raw+edw_stub,raw.dbo__StakeholdersProject,staging.stg_colaborador_stakeholdersproject,edw.defer_stakeholdersproject,,raw,ingestao_colaborador,DEFER — stub EDW; sem dados piloto
dbo.StrategyAction,dbo__StrategyAction,metricas,DEFER,raw+edw_stub,raw.dbo__StrategyAction,staging.stg_metricas_strategyaction,edw.defer_strategyaction,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
dbo.StrategyAnalysis,dbo__StrategyAnalysis,metricas,DEFER,raw+edw_stub,raw.dbo__StrategyAnalysis,staging.stg_metricas_strategyanalysis,edw.defer_strategyanalysis,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
dbo.StrategyAnalysisAttachment,dbo__StrategyAnalysisAttachment,metricas,DEFER,raw+edw_stub,raw.dbo__StrategyAnalysisAttachment,staging.stg_metricas_strategyanalysisattachment,edw.defer_strategyanalysisattachment,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
