silver_domain,silver_table,bronze,erp_key,dimensional_role,reuse_action,snowflake_candidate,grain,row_count_afya,row_count_allos,status,wave,notes
avaliacao,peso_tipo_avaliador,competences__PESO_TIPO_AVALIADOR,competences.PESO_TIPO_AVALIADOR,DIM,REUSE_AS_DIM,DIM_PESO_TIPO_AVALIADOR,,61,124,implemented,3,
avaliacao,resposta_livre_avaliacao,competences__RESPOSTA_LIVRE_AVALIACAO,competences.RESPOSTA_LIVRE_AVALIACAO,FACT,REUSE_AS_FACT,FACT_RESPOSTA_LIVRE_AVALIACAO,,50000,29878,implemented,3,
avaliacao,tipo_avaliacao,competences__TIPO_AVALIACAO,competences.TIPO_AVALIACAO,DIM,REUSE_AS_DIM,DIM_TIPO_AVALIACAO,,1,1,implemented,3,
avaliacao,tipo_avaliador,competences__TIPO_AVALIADOR,competences.TIPO_AVALIADOR,DIM,REUSE_AS_DIM,DIM_TIPO_AVALIADOR,,7,7,implemented,3,
avaliacao,topico_pergunta_livre,competences__TOPICO_PERGUNTA_LIVRE,competences.TOPICO_PERGUNTA_LIVRE,DIM,REUSE_AS_DIM,DIM_TOPICO_PERGUNTA_LIVRE,,1,1,implemented,3,
avaliacao,settings,competences__settings,competences.settings,DIM,REUSE_AS_DIM,DIM_SETTINGS,,0,1,implemented,3,
avaliacao,avaliacao_continua,dbo__AVALIACAO_CONTINUA,dbo.AVALIACAO_CONTINUA,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,calc_resultado_avaliador_tipo_competencia,dbo__CALC_RESULTADO_AVALIADOR_TIPO_COMPETENCIA,dbo.CALC_RESULTADO_AVALIADOR_TIPO_COMPETENCIA,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,calc_resultado_impacto,dbo__CALC_RESULTADO_IMPACTO,dbo.CALC_RESULTADO_IMPACTO,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,calc_resultado_risco,dbo__CALC_RESULTADO_RISCO,dbo.CALC_RESULTADO_RISCO,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,calc_resultado_tipo_avaliador_tipo_competencia,dbo__CALC_RESULTADO_TIPO_AVALIADOR_TIPO_COMPETENCIA,dbo.CALC_RESULTADO_TIPO_AVALIADOR_TIPO_COMPETENCIA,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,calibrados_performance,dbo__CALIBRADOS_PERFORMANCE,dbo.CALIBRADOS_PERFORMANCE,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,comentario_avaliado_forum_sucessao,dbo__COMENTARIO_AVALIADO_FORUM_SUCESSAO,dbo.COMENTARIO_AVALIADO_FORUM_SUCESSAO,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,configuracoes_gerais_feedback_continuo,dbo__CONFIGURACOES_GERAIS_FEEDBACK_CONTINUO,dbo.CONFIGURACOES_GERAIS_FEEDBACK_CONTINUO,DIM,REUSE_AS_DIM,DIM_CONFIGURACOES_GERAIS_FEEDBACK_CONTINUO,,1,1,implemented,3,
avaliacao,deliberation_option,dbo__DeliberationOption,dbo.DeliberationOption,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,effectiveness_evaluation,dbo__EffectivenessEvaluation,dbo.EffectivenessEvaluation,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,evaluation_cycle_instance,dbo__EvaluationCycleInstance,dbo.EvaluationCycleInstance,DIM,REUSE_AS_DIM,DIM_EVALUATION_CYCLE_INSTANCE,,453,0,implemented,3,
avaliacao,evaluation_cycle_instance_participant,dbo__EvaluationCycleInstanceParticipant,dbo.EvaluationCycleInstanceParticipant,FACT,REUSE_AS_FACT,FACT_EVALUATION_CYCLE_INSTANCE_PARTICIPANT,,14997,0,implemented,3,
avaliacao,evaluation_cycle_quadrant,dbo__EvaluationCycleQuadrant,dbo.EvaluationCycleQuadrant,DIM,REUSE_AS_DIM,DIM_EVALUATION_CYCLE_QUADRANT,,111,0,implemented,3,
avaliacao,evaluation_cycle_quadrant_personalization,dbo__EvaluationCycleQuadrantPersonalization,dbo.EvaluationCycleQuadrantPersonalization,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,formulario_avaliacao_aba,dbo__FORMULARIO_AVALIACAO_ABA,dbo.FORMULARIO_AVALIACAO_ABA,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,formulario_avaliacao_aba_item,dbo__FORMULARIO_AVALIACAO_ABA_ITEM,dbo.FORMULARIO_AVALIACAO_ABA_ITEM,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,formulario_feedback_aba,dbo__FORMULARIO_FEEDBACK_ABA,dbo.FORMULARIO_FEEDBACK_ABA,DIM,REUSE_AS_DIM,DIM_FORMULARIO_FEEDBACK_ABA,,0,23,implemented,3,
avaliacao,formulario_feedback_aba_item,dbo__FORMULARIO_FEEDBACK_ABA_ITEM,dbo.FORMULARIO_FEEDBACK_ABA_ITEM,BRIDGE,REUSE_AS_BRIDGE,BRG_FORMULARIO_FEEDBACK_ABA_ITEM,,0,23,implemented,3,
avaliacao,feedback_history,dbo__FeedbackHistory,dbo.FeedbackHistory,DIM,REUSE_AS_DIM,DIM_FEEDBACK_HISTORY,,7,0,implemented,3,
avaliacao,feedback_participant,dbo__FeedbackParticipant,dbo.FeedbackParticipant,DIM,REUSE_AS_DIM,DIM_FEEDBACK_PARTICIPANT,,332,16,implemented,3,
avaliacao,grupo_cargo_avaliacao,dbo__GRUPO_CARGO_AVALIACAO,dbo.GRUPO_CARGO_AVALIACAO,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,instancia_participante_competencia,dbo__INSTANCIA_PARTICIPANTE_COMPETENCIA,dbo.INSTANCIA_PARTICIPANTE_COMPETENCIA,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,item_feedback,dbo__ITEM_FEEDBACK,dbo.ITEM_FEEDBACK,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,item_lista_personalizada_feedback_continuo,dbo__ITEM_LISTA_PERSONALIZADA_FEEDBACK_CONTINUO,dbo.ITEM_LISTA_PERSONALIZADA_FEEDBACK_CONTINUO,DIM,REUSE_AS_DIM,DIM_ITEM_LISTA_PERSONALIZADA_FEEDBACK_CONTINUO,,0,1,implemented,3,
avaliacao,job_evaluation_succession,dbo__JobEvaluationSuccession,dbo.JobEvaluationSuccession,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,nine_box,dbo__NINE_BOX,dbo.NINE_BOX,DIM,REUSE_AS_DIM,DIM_NINE_BOX,,453,0,implemented,3,
avaliacao,opcao_pulse_feedback_continuo,dbo__OPCAO_PULSE_FEEDBACK_CONTINUO,dbo.OPCAO_PULSE_FEEDBACK_CONTINUO,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,periodo_avaliacao_projeto,dbo__PERIODO_AVALIACAO_PROJETO,dbo.PERIODO_AVALIACAO_PROJETO,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,projeto_avaliacao,dbo__PROJETO_AVALIACAO,dbo.PROJETO_AVALIACAO,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,question,dbo__Question,dbo.Question,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,questions_effectiveness_evaluations,dbo__QuestionsEffectivenessEvaluations,dbo.QuestionsEffectivenessEvaluations,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,questions_reaction_evaluations,dbo__QuestionsReactionEvaluations,dbo.QuestionsReactionEvaluations,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,resposta_avaliacao_sucessao,dbo__RESPOSTA_AVALIACAO_SUCESSAO,dbo.RESPOSTA_AVALIACAO_SUCESSAO,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,resposta_pulse_feedback_continuo,dbo__RESPOSTA_PULSE_FEEDBACK_CONTINUO,dbo.RESPOSTA_PULSE_FEEDBACK_CONTINUO,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,reaction_evaluation,dbo__ReactionEvaluation,dbo.ReactionEvaluation,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,tag_feedback,dbo__TAG_FEEDBACK,dbo.TAG_FEEDBACK,DIM,REUSE_AS_DIM,DIM_TAG_FEEDBACK,,466,2,implemented,3,
avaliacao,tag_feedback_continuo,dbo__TAG_FEEDBACK_CONTINUO,dbo.TAG_FEEDBACK_CONTINUO,DIM,REUSE_AS_DIM,DIM_TAG_FEEDBACK_CONTINUO,,20,20,implemented,3,
