erp_key,bronze,diff_type,rows_staging,rows_afya,rows_allos,staging_only_data
dbo.COMPORTAMENTO,dbo__COMPORTAMENTO,present_both,0,0,0,no
dbo.CONFIGURACOES_GERAIS_FEEDBACK_CONTINUO,dbo__CONFIGURACOES_GERAIS_FEEDBACK_CONTINUO,present_both,1,1,1,no
dbo.CONTRAMEDIDA,dbo__CONTRAMEDIDA,present_both,612,10748,23356,no
dbo.COTACAO_MOEDA,dbo__COTACAO_MOEDA,present_both,2,0,0,yes
dbo.COTACAO_MOEDA_ITEM,dbo__COTACAO_MOEDA_ITEM,present_both,24,0,0,yes
dbo.CURVA_MULTIPLO,dbo__CURVA_MULTIPLO,present_both,92,149,240,no
dbo.CURVA_PONTUACAO,dbo__CURVA_PONTUACAO,present_both,3,0,0,yes
dbo.CURVA_PREMIACAO,dbo__CURVA_PREMIACAO,present_both,1234,26,14,no
dbo.CalibrationGroupDiscretionary,dbo__CalibrationGroupDiscretionary,present_both,0,54,0,no
dbo.CategoryAnalysis,dbo__CategoryAnalysis,present_both,11,0,0,yes
dbo.CauseAnalysisPermission,dbo__CauseAnalysisPermission,present_both,8,2,0,no
dbo.Certificate,dbo__Certificate,present_both,9,264,57,no
dbo.CertificateAttachment,dbo__CertificateAttachment,present_both,2,202,47,no
dbo.ChangeHistory,dbo__ChangeHistory,present_both,81,0,0,yes
dbo.ClassificationImpactOfLoss,dbo__ClassificationImpactOfLoss,present_both,42,0,0,yes
dbo.ClassificationRiskOfLoss,dbo__ClassificationRiskOfLoss,present_both,50,0,0,yes
dbo.Company,dbo__Company,present_both,5,151,50,no
dbo.ConceptDiscretionary,dbo__ConceptDiscretionary,present_both,10,0,10,no
dbo.ConsentAgreement,dbo__ConsentAgreement,present_both,1,1,1,no
dbo.Country,dbo__Country,present_both,0,0,0,no
dbo.CurriculumAttachment,dbo__CurriculumAttachment,present_both,9,77,16,no
dbo.CustomGradeFormation,dbo__CustomGradeFormation,present_both,1,0,72,no
dbo.CustomMessages,dbo__CustomMessages,present_both,147,15,378,no
dbo.CustomerBoundTranslateTag,dbo__CustomerBoundTranslateTag,present_both,35,49,80,no
dbo.DELIBERACAO_FORUM_AVALIADO,dbo__DELIBERACAO_FORUM_AVALIADO,present_both,2,0,0,yes
dbo.DIARIO_DE_BORDO,dbo__DIARIO_DE_BORDO,present_both,122,0,0,yes
dbo.DIRETRIZ,dbo__DIRETRIZ,present_both,320,181,11,no
dbo.DIRETRIZ_BOOK,dbo__DIRETRIZ_BOOK,present_both,0,0,0,no
dbo.DashboardLayoutMatrix,dbo__DashboardLayoutMatrix,present_both,8,5,3,no
dbo.DeliberationOption,dbo__DeliberationOption,present_both,43,0,0,yes
dbo.Demand,dbo__Demand,present_both,72,0,0,yes
dbo.DemandsParticipants,dbo__DemandsParticipants,present_both,533,0,0,yes
dbo.Dimensao,dbo__Dimensao,present_both,7,0,0,yes
dbo.DiscretionaryScoreImport,dbo__DiscretionaryScoreImport,present_both,0,4251,9064,no
dbo.Dreams,dbo__Dreams,present_both,7,257,96,no
dbo.EFETIVIDADE_ACAO,dbo__EFETIVIDADE_ACAO,present_both,72,239,2,no
dbo.EMAIL_ENVIADO,dbo__EMAIL_ENVIADO,present_both,0,0,0,no
dbo.EXPRESSAO_CALCULO_META,dbo__EXPRESSAO_CALCULO_META,present_both,4256,27432,50000,no
dbo.Education,dbo__Education,present_both,16,783,238,no
